-16.835606, 0.521286, -7.509965, 0.305787, 1.0, -0.0, -0.0, 1.0, -1.0, 0.0, -0.0, 
-7.900859, 0.521286, -7.509965, 0.0, 1.0, -0.0, -0.0, 1.0, -1.0, 0.0, -0.0, 
-7.900859, 29.740114, -7.509965, 0.0, 0.0, -0.0, -0.0, 1.0, -1.0, 0.0, -0.0, 
-16.835606, 0.521286, -7.509965, 0.305787, 1.0, -0.0, -0.0, 1.0, -1.0, 0.0, 0.0, 
-7.900859, 29.740114, -7.509965, 0.0, 0.0, -0.0, -0.0, 1.0, -1.0, 0.0, 0.0, 
-16.835606, 29.740114, -7.509965, 0.305787, 0.0, -0.0, -0.0, 1.0, -1.0, 0.0, 0.0, 
-19.175587, 0.521286, -14.390005, 0.78564, 1.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-19.175587, 0.521286, -9.304029, 0.611575, 1.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-19.175587, 29.740114, -9.304029, 0.611575, 0.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-19.175587, 0.521286, -14.390005, 0.78564, 1.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-19.175587, 29.740114, -9.304029, 0.611575, 0.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-19.175587, 29.740114, -14.390005, 0.78564, 0.0, -1.0, -0.0, -0.0, 0.0, 0.0, -1.0, 
-7.900859, 0.521286, -16.184071, 0.611575, 1.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-16.835606, 0.521286, -16.184071, 0.305787, 1.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-16.835606, 29.740114, -16.184071, 0.305787, 0.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-7.900859, 0.521286, -16.184071, 0.611575, 1.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-16.835606, 29.740114, -16.184071, 0.305787, 0.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-7.900859, 29.740114, -16.184071, 0.611575, 0.0, -0.0, -0.0, -1.0, 1.0, 0.0, 0.0, 
-5.560878, 0.521286, -9.304029, 0.959705, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 
-5.560878, 0.521286, -14.390005, 0.78564, 1.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 
-5.560878, 29.740114, -14.390005, 0.78564, 0.0, 1.0, -0.0, -0.0, -0.0, 0.0, 1.0, 
-5.560878, 0.521286, -9.304029, 0.959705, 1.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 
-5.560878, 29.740114, -14.390005, 0.78564, 0.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 
-5.560878, 29.740114, -9.304029, 0.959705, 0.0, 1.0, -0.0, -0.0, 0.0, 0.0, 1.0, 
